Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
TestImages,Success,2,0,2016-08-18 15:07:35 -0600,2016-08-18 15:07:50 -0600,0:00:02
TestScripts,Success,1,0,2016-08-19 09:17:41 -0600,2016-08-19 09:17:41 -0600,0:00:00
